ID,Date,Temp_m,Generation,Irradiance,Capacity,Lat,Lon,Angle,Irradiance_m,Temp,Module,TempSta,IrraSta,StnPres,StnPresMax,StnPresMin,Temp_t,TempMax,TempMin,RH,RHMin,WS,WD,WSGust,WDGust,Precp,StaName,StnPres_i,SeaPres,StnPresMax_i,StnPresMin_i,Temp_i,TempMax_i,TempMin_i,TdDewPoint,RH_i,RHMin_i,WS_i,WD_i,WSGust_i,WDGust_i,Precp_i,PrecpMax10,PrecpMax60,SunShine,Irradiance_i,StaName_i,AQSta,Station,COMean,COMin,COMax,COMedian,COStd,COSkew,COKurt,NO2Mean,NO2Min,NO2Max,NO2Median,NO2Std,NO2Skew,NO2Kurt,O3Mean,O3Min,O3Max,O3Median,O3Std,O3Skew,O3Kurt,PM10Mean,PM10Min,PM10Max,PM10Median,PM10Std,PM10Skew,PM10Kurt,PM2.5Mean,PM2.5Min,PM2.5Max,PM2.5Median,PM2.5Std,PM2.5Skew,PM2.5Kurt,SO2Mean,SO2Min,SO2Max,SO2Median,SO2Std,SO2Skew,SO2Kurt,SunLightHr,SunRise,SunSet,ZenithAngle,AirMassNoon,Location
1,2020-06-09,30.30011372433821,630,8.37,499.8,25.11,121.26,22.0,196.56948742748045,26.3,MM60-6RT-300,lz,aic,1006.2,1007.4,1004.7,26.4,29.8,23.6,86.0,70.0,1.0,158.0,5.9,225.0,0.5,lz,997.1,1012.7,998.1,995.8,26.2,29.1,24.0,22.6,81.0,60.0,1.1,170.0,6.8,190.0,2.0,1.0,2.0,9.0,8.37,aic,dy,dy,0.33124998,0.15,0.58,0.305,0.1448931339781924,0.3686740696430206,-1.3335412179608297,13.417916,5.77,23.33,14.545,5.368473103255237,0.0615758374333381,-1.2962877714290797,14.65,1.2,35.8,15.549999,12.09563345553318,0.2376697063446045,-1.4829920255693587,18.375,7.0,29.0,18.5,6.070688665181671,-0.0567843094468116,-0.9357043768760698,8.208333,1.0,14.0,8.5,3.0500059396473405,-0.516456663608551,0.3011471246232409,2.2083333,0.3,4.2,2.4499998,1.2984661933728872,-0.1963212192058563,-1.3926031935045244,48716,18809,67525,2.346,1.001,25.11-121.26
2,2020-06-10,42.526238426764166,2246,17.11,499.8,25.11,121.26,22.0,354.28974707728736,27.9,MM60-6RT-300,lz,aic,1006.0,1007.6,1004.6,27.9,32.6,23.2,80.0,59.0,1.4,216.0,8.0,265.0,0.0,lz,996.9,1012.5,998.3,995.5,28.0,32.5,24.4,22.1,70.0,50.0,1.0,190.0,7.1,190.0,0.0,0.0,0.0,10.2,17.11,aic,dy,dy,0.26958334,0.13,0.5,0.225,0.1185594393498278,0.8012695908546448,-0.6896498863926834,10.3,3.43,19.13,9.33,5.325219756315861,0.2625868618488312,-1.3452042732274774,18.383333,1.1,48.2,15.4,15.49776041980611,0.6454728245735168,-0.879396611753219,19.875,9.0,35.0,20.5,6.70698856806644,0.2831387221813202,-0.6234603914488037,9.791667,6.0,13.0,10.0,1.955575455542138,-0.2144227027893066,-1.095692393146266,2.1095238,-0.5,4.4,2.6,1.517202976699842,-0.3487101793289184,,48735,18811,67547,2.26,1.001,25.11-121.26
3,2020-06-11,33.552473933043494,1147,12.26,499.8,25.11,121.26,22.0,211.00325436144206,28.0,MM60-6RT-300,lz,aic,1004.7,1006.4,1003.0,28.0,30.9,25.8,87.0,74.0,0.9,238.0,7.1,242.0,0.0,lz,995.6,1011.2,997.2,994.0,28.2,31.7,26.3,24.2,79.0,63.0,0.8,250.0,6.2,300.0,0.0,0.0,0.0,9.9,12.26,aic,dy,dy,0.23416667,0.16,0.33,0.22,0.0497748577682942,0.5807642340660095,-0.823799717126275,9.232917,4.25,17.68,7.185,4.34018090713611,0.6273194551467896,-1.100541257048419,19.416666,2.7,44.1,15.900001,13.987965672490468,0.49137082695961,-1.21380844960907,19.666666,10.0,30.0,20.0,4.733476217480054,-0.0007946335827,-0.1182318183879749,9.958333,5.0,20.0,9.0,3.747221192652853,0.9116824865341188,0.1772788728421641,2.95,1.5,4.6,2.85,0.8919933698407424,0.3905582427978515,-0.9423921242448854,48755,18813,67568,2.18,1.001,25.11-121.26
4,2020-06-12,44.29923521655879,2946,21.51,499.8,25.11,121.26,22.0,431.24167788560595,28.6,MM60-6RT-300,lz,aic,1003.7,1005.4,1001.9,28.7,33.2,24.9,85.0,64.0,1.0,356.0,5.3,320.0,0.0,lz,994.6,1010.1,996.1,992.7,28.8,32.1,25.8,24.6,78.0,62.0,1.0,330.0,5.2,330.0,0.0,0.0,0.0,11.9,21.51,aic,dy,dy,0.2073913,0.11,0.35,0.2,0.0836778134361512,0.3369797170162201,,10.832608,4.87,19.16,8.83,4.775523850728558,0.5390397310256958,,17.527273,2.5,38.6,19.7,10.3463441188306,-0.0537122972309589,,19.26087,8.0,35.0,19.0,7.027332296788457,0.551918089389801,,9.391304,1.0,18.0,10.0,5.078825297562622,-0.0587297864258289,,2.9409091,0.6,5.1,2.9,1.0513750903963752,0.0055256928317248,,48771,18818,67589,2.106,1.001,25.11-121.26
5,2020-06-13,43.13262098324937,3139,23.18,499.8,25.11,121.26,22.0,480.9080845302168,29.1,MM60-6RT-300,lz,aic,1004.9,1008.2,1002.3,29.2,33.9,25.7,82.0,60.0,1.1,346.0,6.6,322.0,0.0,lz,995.8,1011.3,998.9,993.3,29.0,32.3,26.4,23.8,74.0,59.0,0.9,340.0,6.0,320.0,0.0,0.0,0.0,10.3,23.18,aic,dy,dy,0.16833334,0.11,0.22,0.17,0.0347245885928822,-0.1259918510913849,-1.2171379496665318,7.88625,5.0,19.73,6.63,3.2806332582070974,2.2682044506073,5.060187128261198,39.0375,17.1,60.4,41.2,14.553732824305374,-0.2985574603080749,-1.3979106752587287,23.916666,16.0,33.0,24.0,4.924796766203231,0.2523440718650818,-0.72025691108345,9.833333,3.0,19.0,9.5,3.985480895828569,0.5295435190200806,0.0742150260344156,3.0208333,1.5,5.7,2.7,1.3701726606679432,0.7291855812072754,-0.8561228759666482,48785,18824,67608,2.038,1.001,25.11-121.26
6,2020-06-14,40.80170067602693,2618,18.57,499.8,25.11,121.26,22.0,426.4668465948382,28.3,MM60-6RT-300,lz,aic,1008.7,1011.1,1006.2,28.4,34.1,25.2,88.0,62.0,1.1,150.0,6.8,327.0,11.5,lz,999.5,1015.1,1001.9,997.1,27.8,33.0,24.9,24.5,83.0,60.0,1.1,250.0,6.8,330.0,60.0,15.5,49.0,8.2,18.57,aic,dy,dy,0.23916666,0.13,0.33,0.25,0.0725867820739611,-0.1926046162843704,-1.4537158269920432,8.449583,2.18,15.54,7.78,3.778196572809825,0.5802251100540161,-0.3076969146334258,33.8875,11.8,61.3,33.65,15.206071903190178,0.2066365927457809,-1.070352377748976,27.208334,11.0,37.0,28.0,8.123926907955111,-0.636045515537262,-0.8264439174156468,12.5,2.0,21.0,13.5,5.949059114500887,-0.231133684515953,-1.348985060978703,3.3166666,1.6,6.4,3.1,1.2537480375495698,0.8695141673088074,0.0833664533617453,48799,18829,67627,1.976,1.001,25.11-121.26
7,2020-06-15,49.48320275239334,3093,27.04,499.8,25.11,121.26,22.0,567.9899186218828,29.0,MM60-6RT-300,lz,aic,1008.6,1010.5,1006.7,29.1,33.2,24.9,79.0,61.0,2.1,247.0,9.4,258.0,0.0,lz,999.4,1015.0,1001.3,997.6,28.9,32.9,25.0,23.3,72.0,55.0,1.2,220.0,8.9,200.0,0.0,0.0,0.0,11.9,27.04,aic,dy,dy,0.17086956,0.1,0.3,0.15,0.0601447563271538,1.0320618152618408,,6.2347827,1.76,14.37,5.02,3.806294829231839,0.8587128520011902,,24.072727,10.1,45.8,23.45,11.335161527748156,0.4888240993022918,,17.956522,8.0,30.0,18.0,5.2611635497514415,0.1150100901722908,,5.3913045,1.0,19.0,5.0,3.869920488198723,1.875004291534424,,1.326087,-0.3,2.3,1.7,0.7788204252541189,-0.9535917043685912,,48809,18836,67645,1.921,1.001,25.11-121.26
8,2020-06-16,51.52716933924005,3256,28.65,499.8,25.11,121.26,22.0,571.0401885392381,29.3,MM60-6RT-300,lz,aic,1005.6,1007.7,1003.9,29.4,33.7,25.4,73.0,56.0,2.3,242.0,10.6,245.0,0.0,lz,996.5,1012.1,998.5,994.8,29.3,33.4,26.1,22.3,66.0,50.0,1.3,210.0,9.7,220.0,0.0,0.0,0.0,11.5,28.65,aic,dy,dy,0.155,0.1,0.26,0.14,0.0476399518500344,0.9185932874679564,-0.1487638360001204,6.232917,2.13,14.11,4.375,3.858976532162625,0.6609100103378296,-1.0171808010131769,20.870834,8.4,33.2,21.95,8.111209708933512,0.0297201760113239,-1.4957114446539188,16.391304,10.0,24.0,16.0,3.7987932346372433,0.4966848790645599,,6.25,1.0,19.0,6.0,4.045931934349774,1.370177149772644,2.134728020190156,2.6125,1.0,4.6,2.4499998,1.038524230251816,0.3563284873962402,-0.7831576518410448,48816,18845,67661,1.872,1.001,25.11-121.26
9,2020-06-17,50.231061566036104,3280,28.63,499.8,25.11,121.26,22.0,577.6711976907062,29.2,MM60-6RT-300,lz,aic,1004.2,1005.6,1002.9,29.3,34.0,25.1,73.0,55.0,2.4,190.0,11.3,254.0,0.0,lz,995.1,1010.6,996.2,993.8,29.4,33.2,26.5,22.2,65.0,52.0,1.1,220.0,9.2,260.0,0.0,0.0,0.0,11.9,28.63,aic,dy,dy,0.18041667,0.11,0.32,0.17,0.0542521619629175,1.138949275016785,0.7842399640709101,6.2,1.43,14.94,4.3500004,4.085714157281244,0.7492642998695374,-0.6494468789689471,23.6375,10.4,51.4,22.8,12.121515821534173,0.7675424814224243,-0.510556199016929,18.5,11.0,29.0,19.0,4.625073442425113,0.3609938621520996,-0.1453004164187983,6.2916665,1.0,15.0,6.0,3.32943612756518,0.6082750558853149,0.1613525840437679,2.0916667,0.3,4.0,2.2,1.0594981082463586,-0.1296326816082,-0.8136911385042187,48823,18855,67678,1.831,1.001,25.11-121.26
10,2020-06-18,51.7142574482222,3238,28.6,499.8,25.11,121.26,22.0,548.0420367865119,29.4,MM60-6RT-300,lz,aic,1004.2,1006.3,1002.3,29.5,34.4,25.4,72.0,56.0,2.3,229.0,11.2,240.0,0.0,lz,995.1,1010.6,997.0,993.4,29.5,33.9,25.9,22.7,67.0,54.0,1.2,220.0,10.8,210.0,0.0,0.0,0.0,11.7,28.6,aic,dy,dy,0.14583333,0.1,0.22,0.13499999,0.0367028817334398,0.6571563482284546,-0.8718651834639144,6.374091,2.46,11.88,6.375,3.3702249485673152,0.2314451038837433,,23.008696,7.8,48.4,18.6,13.6567968855878,0.6662675142288208,,18.043478,7.0,35.0,16.0,7.630550205764178,0.943465769290924,,5.869565,1.0,17.0,6.0,4.245900138273358,1.234607815742493,,2.5833333,1.3,4.8,2.25,1.035738225971221,0.6846287250518799,-0.7687363125821287,48829,18864,67692,1.796,1.0,25.11-121.26
